"Date";"Open";"High";"Low";"Close";"Volume"
4/11/06 12:00 AM;1296.6;1300.71;1282.96;1286.57;2.23288E9
4/12/06 12:00 AM;1286.57;1290.93;1286.45;1288.12;1.9381E9
4/13/06 12:00 AM;1288.12;1292.09;1283.37;1289.12;1.89194E9
4/17/06 12:00 AM;1289.12;1292.45;1280.74;1285.33;1.79465E9
4/18/06 12:00 AM;1285.33;1309.02;1285.33;1307.28;2.59544E9
4/19/06 12:00 AM;1307.65;1310.39;1302.79;1309.93;2.44731E9
4/20/06 12:00 AM;1309.93;1318.16;1306.38;1311.46;2.51292E9
4/21/06 12:00 AM;1311.46;1317.67;1306.59;1311.28;2.39263E9
4/24/06 12:00 AM;1311.28;1311.28;1303.79;1308.11;2.11733E9
4/25/06 12:00 AM;1308.11;1310.79;1299.17;1301.74;2.36638E9
4/26/06 12:00 AM;1301.74;1310.97;1301.74;1305.41;2.50269E9
4/27/06 12:00 AM;1305.41;1315.0;1295.57;1309.72;2.77201E9
4/28/06 12:00 AM;1309.72;1316.04;1306.16;1310.61;2.41992E9
5/1/06 12:00 AM;1310.61;1317.21;1303.46;1305.19;2.43704E9
5/2/06 12:00 AM;1305.19;1313.66;1305.19;1313.21;2.40347E9
5/3/06 12:00 AM;1313.21;1313.47;1303.92;1308.12;2.39523E9
5/4/06 12:00 AM;1307.85;1315.14;1307.85;1312.25;2.43145E9
5/5/06 12:00 AM;1312.25;1326.53;1312.25;1325.76;2.29476E9
5/8/06 12:00 AM;1325.76;1326.7;1322.87;1324.66;2.1513E9
5/9/06 12:00 AM;1324.66;1326.6;1322.48;1325.14;2.15729E9
5/10/06 12:00 AM;1324.57;1325.51;1317.44;1322.85;2.26855E9
5/11/06 12:00 AM;1322.63;1322.63;1303.45;1305.92;2.53152E9
5/12/06 12:00 AM;1305.88;1305.88;1290.38;1291.24;2.56797E9
5/15/06 12:00 AM;1291.19;1294.81;1284.51;1294.5;2.50566E9
5/16/06 12:00 AM;1294.5;1297.88;1288.51;1292.08;2.38621E9
5/17/06 12:00 AM;1291.73;1291.73;1267.31;1270.32;2.8302E9
5/18/06 12:00 AM;1270.25;1274.89;1261.75;1261.81;2.53749E9
5/19/06 12:00 AM;1261.81;1272.15;1256.28;1267.03;2.9823E9
5/22/06 12:00 AM;1267.03;1268.77;1252.98;1262.07;2.77301E9
5/23/06 12:00 AM;1262.06;1273.67;1256.15;1256.58;2.60525E9
5/24/06 12:00 AM;1256.56;1264.53;1245.34;1258.57;2.99903E9
5/25/06 12:00 AM;1258.41;1273.26;1258.41;1272.88;2.37273E9
5/26/06 12:00 AM;1272.71;1280.54;1272.5;1280.16;1.81402E9
5/30/06 12:00 AM;1280.04;1280.04;1259.87;1259.87;2.17619E9
5/31/06 12:00 AM;1259.38;1270.09;1259.38;1270.09;2.69216E9
6/1/06 12:00 AM;1270.05;1285.71;1269.19;1285.71;2.36016E9
6/2/06 12:00 AM;1285.71;1290.68;1280.22;1288.22;2.29554E9
